rank,github_stars,title,presentation_type,decision,first_author,authors,arxiv_id,arxiv_abs_url,arxiv_pdf_url,github_repo,icml_page_url,openreview_url
89,56,Gated Relational Alignment via Confidence-based Distillation for Efficient VLMs,Poster,Accept (regular),Yanlong Chen,"Yanlong Chen, Amir Habibian, Luca Benini, Yawei Li",2601.22709,https://arxiv.org/abs/2601.22709,https://arxiv.org/pdf/2601.22709,https://github.com/ForeverBlue816/GRACE,https://icml.cc/virtual/2026/poster/60706,https://openreview.net/forum?id=xM4iQX34JA
90,55,AlphaGRPO: Unlocking Self-Reflective Multimodal Generation in Unified Multimodal Models via Decompositional Verifiable Reward,Poster,Accept (regular),Runhui Huang,"Runhui Huang, Jie Wu, Rui Yang, Zhe Liu, Hengshuang Zhao",2605.12495,https://arxiv.org/abs/2605.12495,https://arxiv.org/pdf/2605.12495,https://github.com/huangrh99/AlphaGRPO,https://icml.cc/virtual/2026/poster/61792,https://openreview.net/forum?id=mtcGhTTDgN
91,54,Just Ask: Curious Code Agents Reveal System Prompts in Frontier LLMs,Poster,Accept (regular),Xiang Zheng,"Xiang Zheng, Yutao Wu, Hanxun Huang, Yige Li, Xingjun Ma, Bo Li, Yu-Gang Jiang, Cong Wang",2601.21233,https://arxiv.org/abs/2601.21233,https://arxiv.org/pdf/2601.21233,https://github.com/x-zheng16/JustAsk,https://icml.cc/virtual/2026/poster/61428,https://openreview.net/forum?id=qFWLv8bLL2
92,54,ECG-R1: Protocol-Guided and Modality-Agnostic MLLM for Reliable ECG Interpretation,Poster,Accept (regular),Jiarui Jin,"Jiarui Jin, Haoyu Wang, Xingliang Wu, Xiaocheng Fang, Xiang Lan, Zihan Wang, Deyun Zhang, Bo Liu, Yingying Zhang, Xian Wu, Hongyan Li, Shenda Hong",2602.04279,https://arxiv.org/abs/2602.04279,https://arxiv.org/pdf/2602.04279,https://github.com/PKUDigitalHealth/ECG-R1,https://icml.cc/virtual/2026/poster/62761,https://openreview.net/forum?id=dcLjhvVU47
93,54,Quant VideoGen: Auto-Regressive Long Video Generation via 2-Bit KV-Cache Quantization,Poster,Accept (regular),Haocheng Xi,"Haocheng Xi, Shuo Yang, Yilong Zhao, Muyang Li, Han Cai, Xingyang Li, Yujun Lin, Zhuoyang Zhang, Jintao Zhang, Xiuyu Li, Zhiying Xu, Jun Wu, Chenfeng Xu, Ion Stoica, Song Han, Kurt Keutzer",2602.02958,https://arxiv.org/abs/2602.02958,https://arxiv.org/pdf/2602.02958,https://github.com/svg-project/Quant-VideoGen,https://icml.cc/virtual/2026/poster/61341,https://openreview.net/forum?id=r9UJgVH1Fx
94,51,Flash-GRPO: Efficient Alignment for Video Diffusion via One-Step Policy Optimization,Poster,Accept (regular),Xiaoxuan He,"Xiaoxuan He, Siming Fu, Zeyue Xue, Weijie Wang, Ruizhe He, Yuming Li, Dacheng Yin, Shuai Dong, Haoyang Huang, Hongfa Wang, Nan Duan, Bohan Zhuang",2605.15980,https://arxiv.org/abs/2605.15980,https://arxiv.org/pdf/2605.15980,https://github.com/Shredded-Pork/Flash-GRPO,https://icml.cc/virtual/2026/poster/63629,https://openreview.net/forum?id=VHqDQ1BQVw
95,50,EPiC: Efficient Video Camera Control Learning with Precise Anchor-Video Guidance,Poster,Accept (regular),Zun Wang,"Zun Wang, Jaemin Cho, Jialu Li, Han Lin, Jaehong Yoon, Yue Zhang, Mohit Bansal",2505.21876,https://arxiv.org/abs/2505.21876,https://arxiv.org/pdf/2505.21876,https://github.com/wz0919/EPiC,https://icml.cc/virtual/2026/poster/66166,https://openreview.net/forum?id=69u8BZXVXJ
96,49,Vision-Language-Action Pretraining from Large-Scale Human Videos,Poster,Accept (regular),Hao Luo,"Hao Luo, Yicheng Feng, Wanpeng Zhang, Sipeng Zheng, Ye Wang, Haoqi Yuan, jiazheng liu, Chaoyi Xu, Haiweng Xu, Qin Jin, Zongqing Lu",2507.15597,https://arxiv.org/abs/2507.15597,https://arxiv.org/pdf/2507.15597,https://github.com/BeingBeyond/Being-H0,https://icml.cc/virtual/2026/poster/62813,https://openreview.net/forum?id=d2TFven78P
97,49,Temporal Score Rescaling for Temperature Sampling in Diffusion and Flow Models,Poster,Accept (regular),Yanbo Xu,"Yanbo Xu, Yu Wu, Sungjae Park, Zhizhuo Zhou, Shubham Tulsiani",2510.01184,https://arxiv.org/abs/2510.01184,https://arxiv.org/pdf/2510.01184,https://github.com/temporalscorerescaling/TSR,https://icml.cc/virtual/2026/poster/63504,https://openreview.net/forum?id=WbfRe0cheB
98,48,ObjEmbed: Towards Universal Multimodal Object Embeddings,Poster,Accept (regular),Shenghao Fu,"Shenghao Fu, Yukun Su, Fengyun Rao, Jing LYU, Xiaohua Xie, Wei-Shi Zheng",2602.01753,https://arxiv.org/abs/2602.01753,https://arxiv.org/pdf/2602.01753,https://github.com/WeChatCV/ObjEmbed,https://icml.cc/virtual/2026/poster/63895,https://openreview.net/forum?id=Sjbl4SueQS
99,48,Reasoning Models Struggle to Control their Chains of Thought,Poster,Accept (regular),Chen Yueh-Han,"Chen Yueh-Han, Robert McCarthy, Bruce W. Lee, He He, Micah Carroll, Tomek Korbak",2603.05706,https://arxiv.org/abs/2603.05706,https://arxiv.org/pdf/2603.05706,https://github.com/YuehHanChen/CoTControl,https://icml.cc/virtual/2026/poster/66446,https://openreview.net/forum?id=3el4fMYQU6
100,47,UHR-BAT: Budget-Aware Token Compression Vision-Language model for Ultra-High-Resolution Remote Sensing,Poster,Accept (regular),Yunkai Dang,"Yunkai Dang, Minxin Dai, Yuekun Yang, Zhangnanli, Wenbin Li, Feng Miao, Yang Gao",2604.13565,https://arxiv.org/abs/2604.13565,https://arxiv.org/pdf/2604.13565,https://github.com/Yunkaidang/UHR-BAT,https://icml.cc/virtual/2026/poster/65754,https://openreview.net/forum?id=AWPKhE1dbc
101,46,Seg-ReSearch: Segmentation with Interleaved Reasoning and External Search,Poster,Accept (regular),Tianming Liang,"Tianming Liang, Qirui Du, Jian-Fang Hu, Haichao Jiang, Zicheng Lin, Wei-Shi Zheng",2602.04454,https://arxiv.org/abs/2602.04454,https://arxiv.org/pdf/2602.04454,https://github.com/iSEE-Laboratory/Seg-ReSearch,https://icml.cc/virtual/2026/poster/65075,https://openreview.net/forum?id=H0tGv2kBi8
